hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
276903,3.0500601262,35,1,1,1,1,4,210,2,0,0,1
138321,1.8401280941,54,1,2,1,1,5,220,3,2,2,2
250421,0.8062841777,72,2,2,4,1,6,210,2,2,2,2
414051,2.0486523079,67,1,2,4,1,6,210,2,0,0,1
118607,0.8013329592,7,1,1,5,2,1,220,4,2,2,3
431595,1.2064704693,14,2,1,5,2,1,220,5,2,2,5
333968,1.7965334941,58,1,2,1,1,5,210,2,2,2,1
116705,4.8950786139,34,2,1,1,1,4,220,3,2,2,1
130927,4.6481097675,55,1,4,1,1,5,10,1,1,1,1
123127,2.1929300713,35,2,2,1,1,4,220,4,2,2,2
429751,2.8697394461,29,2,1,1,2,4,210,2,0,0,2
113063,0.6951466046,21,2,1,3,2,3,220,4,3,3,3
132853,1.1197168187,32,1,1,1,1,4,30,3,3,3,2
321244,0.5962546515,69,1,4,4,1,6,10,1,1,1,1
314284,0.9041424578,45,2,2,1,1,5,220,4,1,1,2
437289,0.56066642,82,2,1,4,1,6,10,1,1,1,1
328962,1.3927266695,66,2,2,4,2,6,230,2,0,0,1
334241,1.2139031432,7,1,1,5,2,1,30,6,3,3,6
156406,1.8254325022,6,2,1,5,2,1,220,4,1,1,3
129722,2.1807437224,26,2,1,1,1,4,10,1,1,1,1
328262,1.9133223081,55,1,2,1,1,5,220,4,1,1,1
430541,0.7910662245,58,2,1,1,2,5,210,2,1,1,2
130282,0.3466712371,56,2,2,1,1,5,220,3,4,4,2
457833,1.1309067162,59,1,2,1,1,5,210,2,2,2,1
271889,0.3241790863,8,2,1,5,2,1,220,3,2,2,3
329558,1.1980311724,80,1,4,4,1,6,210,2,1,1,1
139266,1.6315779922,41,1,2,1,1,4,210,2,1,1,2
252754,5.3020713086,40,2,2,1,1,4,220,4,1,1,1
135568,2.6312598881,83,2,3,4,1,6,10,1,1,1,1
357335,2.2638527328,42,2,1,1,1,4,230,3,1,1,1
139885,0.7601615437,47,2,2,1,1,5,220,4,2,2,1
150425,0.8657194033,64,2,2,4,1,5,210,2,1,1,2
352216,5.7406786894,41,1,2,1,1,4,210,2,1,1,1
425167,1.8692625543,50,2,2,1,1,5,10,1,0,0,1
280624,1.4723207402,35,2,2,1,1,4,220,4,2,2,2
256102,2.122616865,46,2,2,1,1,5,210,2,2,2,1
270065,5.5282272546,26,2,2,1,1,4,220,3,1,1,2
435751,0.6946754165,42,1,2,1,1,4,220,4,2,2,1
248503,0.4905709208,13,2,1,5,2,1,30,5,3,3,4
125483,1.2249814531,39,1,2,1,1,4,220,5,1,1,1
285621,1.2860843962,33,2,2,1,1,4,220,4,2,2,2
447934,0.3955630748,11,1,1,5,2,1,220,4,2,2,3
447892,0.8882861532,45,2,1,1,1,5,10,1,0,0,1
428542,1.8381606208,37,2,2,1,1,4,220,4,1,1,2
132398,0.9441498003,64,2,2,1,1,5,210,2,2,2,1
316849,2.5555446556,42,2,1,1,2,4,220,4,1,1,2
280504,2.1756676079,46,1,2,1,1,5,220,5,2,2,1
338679,0.864600302,39,2,2,1,1,4,220,4,1,1,2
249244,1.0423427788,42,2,1,2,2,4,10,1,0,0,1
321501,0.7597663093,78,2,1,4,2,6,210,2,1,1,1
113326,0.451706147,53,1,2,1,1,5,210,2,2,2,1
116084,0.6090013922,79,2,2,4,2,6,10,1,0,0,1
287713,0.4913381849,36,2,1,1,1,4,10,1,1,1,1
320152,3.4596598516,32,1,1,1,1,4,220,3,2,2,1
433263,1.7990537203,89,1,3,4,1,6,10,1,2,2,1
110181,1.8069768775,86,2,2,4,2,6,210,2,0,0,2
115165,2.3281278667,64,1,2,1,1,5,210,2,2,2,1
439342,0.5900115914,47,2,2,1,1,5,230,3,1,1,1
253762,0.7826590567,72,2,2,4,1,6,210,2,2,2,2
240402,2.7495309005,30,2,1,1,1,4,30,4,1,1,3
122005,1.1644064865,7,1,1,5,2,1,220,7,2,2,6
448496,2.0508172271,53,2,4,1,1,5,230,2,2,2,1
250974,1.4434981038,51,1,1,1,1,5,210,2,4,4,1
144848,1.9519476785,61,1,2,1,1,5,10,1,1,1,1
358593,0.223949353,69,2,4,4,1,6,10,1,0,0,1
116279,0.3383031243,70,2,2,4,1,6,210,2,2,2,2
129977,0.9879341842,41,2,2,1,1,4,220,4,2,2,2
144122,0.8073594986,11,1,1,5,2,1,220,4,1,1,3
337287,1.2483639638,55,2,2,1,1,5,210,2,0,0,2
120453,1.5537880517,64,1,2,1,1,5,220,3,2,2,2
459779,0.9081633296,7,1,1,5,2,1,220,5,2,2,5
429141,0.6906987795,17,1,1,1,2,2,220,4,2,2,3
331774,0.2863465535,12,2,1,5,2,1,220,6,2,2,6
